latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
19.35414,82.99409,331.82,0.36,0.57,2024-05-04,0703,N20,VIIRS,l,2,306.71,1.46,D,0
19.88016,85.60645,333.48,0.47,0.48,2024-05-04,0703,N20,VIIRS,n,2,303.14,2.91,D,0
19.87423,85.57547,332.36,0.47,0.48,2024-05-04,0703,N20,VIIRS,l,2,304.25,4.33,D,0
18.27038,78.06172,334.87,0.78,0.78,2024-05-04,0703,N20,VIIRS,l,2,306.67,7.55,D,0
19.63977,84.27482,349.69,0.58,0.52,2024-05-04,0703,N20,VIIRS,n,2,303.02,14.33,D,0
19.92595,85.70614,330.68,0.46,0.47,2024-05-04,0703,N20,VIIRS,l,2,303.75,2.37,D,0
19.9187,85.64404,330.32,0.47,0.48,2024-05-04,0703,N20,VIIRS,l,2,303.39,3.67,D,0
19.92913,85.6281,342.41,0.47,0.48,2024-05-04,0703,N20,VIIRS,n,2,304.51,5.93,D,0
19.56205,83.73213,334.12,0.63,0.54,2024-05-04,0703,N20,VIIRS,l,2,306.54,5.75,D,0
19.94575,85.69285,330.41,0.46,0.47,2024-05-04,0703,N20,VIIRS,l,2,305.31,2.5,D,0
19.95167,85.70065,340.8,0.46,0.47,2024-05-04,0703,N20,VIIRS,n,2,303.49,6.09,D,0
19.95085,85.69629,341.97,0.46,0.47,2024-05-04,0703,N20,VIIRS,n,2,304.19,6.09,D,0
19.65805,84.16709,338.47,0.59,0.53,2024-05-04,0703,N20,VIIRS,n,2,303.41,2.85,D,0
19.94933,85.70116,336.9,0.46,0.47,2024-05-04,0703,N20,VIIRS,n,2,303.88,5.88,D,0
19.94849,85.69682,342.41,0.46,0.47,2024-05-04,0703,N20,VIIRS,n,2,304.64,5.88,D,0
19.55799,83.72959,334.95,0.63,0.54,2024-05-04,0703,N20,VIIRS,l,2,307.66,5.57,D,0
19.65834,84.16901,339.18,0.59,0.53,2024-05-04,0703,N20,VIIRS,n,2,303.83,4.51,D,0
19.48753,83.18895,341.72,0.34,0.56,2024-05-04,0703,N20,VIIRS,n,2,306.18,2.62,D,0
19.5015,83.20515,343,0.34,0.56,2024-05-04,0703,N20,VIIRS,n,2,303.48,3.28,D,0
