latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
25.45642,93.38056,251.31,0.49,0.65,2024-04-05,0607,N20,VIIRS,l,2,304.49,84.81,D,0
25.41062,93.16982,329.76,0.51,0.66,2024-04-05,0607,N20,VIIRS,n,2,291.74,4.53,D,0
25.49579,93.49023,332.55,0.48,0.65,2024-04-05,0607,N20,VIIRS,n,2,292.77,5.78,D,0
25.37181,92.85873,336.38,0.53,0.67,2024-04-05,0607,N20,VIIRS,n,2,291.98,6.1,D,0
25.39443,92.92418,367,0.53,0.67,2024-04-05,0607,N20,VIIRS,h,2,291.97,13.21,D,0
23.95643,94.02927,367,0.49,0.65,2024-04-05,0607,N20,VIIRS,h,2,295.6,13.8,D,0
23.95834,94.03746,332.6,0.49,0.65,2024-04-05,0607,N20,VIIRS,n,2,290.75,9.96,D,0
24.00267,94.04224,367,0.48,0.65,2024-04-05,0607,N20,VIIRS,h,2,293.57,16.16,D,0
24.00157,94.0434,338.59,0.48,0.65,2024-04-05,0607,N20,VIIRS,n,2,289.26,7.44,D,0
24.00694,94.04003,353.81,0.48,0.65,2024-04-05,0607,N20,VIIRS,n,2,300.45,82.36,D,0
24.00595,94.03584,348.61,0.48,0.65,2024-04-05,0607,N20,VIIRS,n,2,284.61,49.5,D,0
24.01227,94.03648,367,0.48,0.65,2024-04-05,0607,N20,VIIRS,h,2,293.79,82.36,D,0
24.01118,94.03188,330.62,0.48,0.65,2024-04-05,0607,N20,VIIRS,n,2,292.62,49.5,D,0
24.1186,94.09629,342.01,0.48,0.64,2024-04-05,0607,N20,VIIRS,n,2,294.68,5.35,D,0
24.11782,94.09297,330.46,0.48,0.64,2024-04-05,0607,N20,VIIRS,n,2,295.06,5.35,D,0
24.11703,94.09428,356.07,0.48,0.64,2024-04-05,0607,N20,VIIRS,n,2,296.94,11.18,D,0
24.12699,94.08451,367,0.48,0.64,2024-04-05,0607,N20,VIIRS,h,2,294.45,14.11,D,0
24.10876,93.98207,351.15,0.49,0.65,2024-04-05,0607,N20,VIIRS,n,2,292.65,9.6,D,0
24.10792,93.97855,351.97,0.49,0.65,2024-04-05,0607,N20,VIIRS,n,2,291.87,9.6,D,0
23.74267,92.2058,367,0.63,0.72,2024-04-05,0607,N20,VIIRS,h,2,291,20.97,D,0
23.74194,92.20568,367,0.63,0.72,2024-04-05,0607,N20,VIIRS,h,2,291.32,24.9,D,0
24.1426,93.61246,327.5,0.51,0.66,2024-04-05,0607,N20,VIIRS,n,2,296.12,4.24,D,0
23.81833,92.23553,335.13,0.63,0.72,2024-04-05,0607,N20,VIIRS,n,2,289.8,5.38,D,0
24.20438,93.76594,367,0.5,0.66,2024-04-05,0607,N20,VIIRS,h,2,294.57,12.42,D,0
24.1991,93.63792,327.11,0.51,0.66,2024-04-05,0607,N20,VIIRS,n,2,295.33,3.28,D,0
25.39326,92.91944,326.98,0.53,0.67,2024-04-05,0607,N20,VIIRS,n,2,287.31,13.21,D,0
25.44061,92.95584,331.77,0.52,0.67,2024-04-05,0607,N20,VIIRS,n,2,291.21,7.26,D,0
25.43947,92.95115,346.28,0.52,0.67,2024-04-05,0607,N20,VIIRS,n,2,291.84,8.36,D,0
25.44645,92.95358,329.25,0.52,0.67,2024-04-05,0607,N20,VIIRS,n,2,290.59,7.26,D,0
25.44529,92.94882,340.56,0.52,0.67,2024-04-05,0607,N20,VIIRS,n,2,289.12,8.36,D,0
25.54142,93.13647,328.54,0.51,0.66,2024-04-05,0607,N20,VIIRS,n,2,292,3.75,D,0
25.53766,93.13617,340.3,0.51,0.66,2024-04-05,0607,N20,VIIRS,n,2,292.63,5.13,D,0
25.53849,93.11388,331.24,0.51,0.66,2024-04-05,0607,N20,VIIRS,n,2,291.95,6.64,D,0
25.46251,92.75491,367,0.54,0.68,2024-04-05,0607,N20,VIIRS,h,2,293.56,15.58,D,0
25.77257,94.02966,335.41,0.44,0.62,2024-04-05,0607,N20,VIIRS,n,2,291.78,4.29,D,0
25.46365,92.7595,330.74,0.54,0.68,2024-04-05,0607,N20,VIIRS,n,2,291.98,10.05,D,0
25.85638,94.35886,367,0.42,0.61,2024-04-05,0607,N20,VIIRS,h,2,292.07,11.06,D,0
25.8554,94.35469,367,0.42,0.61,2024-04-05,0607,N20,VIIRS,h,2,293.29,17.17,D,0
25.86078,94.35274,351.6,0.42,0.61,2024-04-05,0607,N20,VIIRS,n,2,297.86,60.38,D,0
25.55966,93.09704,346.23,0.51,0.66,2024-04-05,0607,N20,VIIRS,n,2,293.21,7.01,D,0
25.86264,94.36066,356.34,0.42,0.61,2024-04-05,0607,N20,VIIRS,l,2,289.85,105.81,D,0
25.80528,94.01677,330.91,0.44,0.62,2024-04-05,0607,N20,VIIRS,n,2,292.2,9.63,D,0
25.80399,94.01128,342.09,0.44,0.63,2024-04-05,0607,N20,VIIRS,n,2,294.43,8.31,D,0
25.51884,92.80016,329.62,0.53,0.67,2024-04-05,0607,N20,VIIRS,n,2,292.85,5.51,D,0
25.51768,92.79543,334.59,0.53,0.67,2024-04-05,0607,N20,VIIRS,n,2,293.71,5.51,D,0
25.54693,92.80985,330.6,0.53,0.67,2024-04-05,0607,N20,VIIRS,n,2,292.37,4.83,D,0
25.54572,92.80488,330.32,0.53,0.67,2024-04-05,0607,N20,VIIRS,n,2,293.19,4.6,D,0
25.82892,93.96498,351.23,0.44,0.63,2024-04-05,0607,N20,VIIRS,n,2,292.53,61.75,D,0
25.8353,93.96671,367,0.44,0.63,2024-04-05,0607,N20,VIIRS,h,2,290.92,118.83,D,0
25.85323,94.04359,333.24,0.44,0.62,2024-04-05,0607,N20,VIIRS,n,2,289.89,3.29,D,0
25.83349,93.95901,336.74,0.44,0.63,2024-04-05,0607,N20,VIIRS,n,2,291.72,61.75,D,0
25.83444,93.96307,207.93,0.44,0.63,2024-04-05,0607,N20,VIIRS,l,2,312.44,61.75,D,0
25.83889,93.95654,347.67,0.44,0.63,2024-04-05,0607,N20,VIIRS,n,2,290.6,30.47,D,0
25.83784,93.952,349.44,0.45,0.63,2024-04-05,0607,N20,VIIRS,n,2,298.38,40.69,D,0
25.83684,93.94775,343.98,0.45,0.63,2024-04-05,0607,N20,VIIRS,n,2,291.85,40.69,D,0
25.85054,94.04611,328.01,0.44,0.62,2024-04-05,0607,N20,VIIRS,n,2,289.67,3.54,D,0
25.83102,93.96503,350.07,0.44,0.63,2024-04-05,0607,N20,VIIRS,n,2,303.78,54.5,D,0
25.83012,93.96131,351.13,0.44,0.63,2024-04-05,0607,N20,VIIRS,n,2,292.77,54.5,D,0
25.54658,92.80734,348.27,0.53,0.67,2024-04-05,0607,N20,VIIRS,n,2,293.28,8.19,D,0
25.83658,93.96329,367,0.44,0.63,2024-04-05,0607,N20,VIIRS,h,2,296.13,54.5,D,0
25.83559,93.95915,347.26,0.44,0.63,2024-04-05,0607,N20,VIIRS,n,2,291.86,54.5,D,0
25.83452,93.95473,344.49,0.44,0.63,2024-04-05,0607,N20,VIIRS,n,2,290.55,12.52,D,0
25.83351,93.95055,344.85,0.44,0.63,2024-04-05,0607,N20,VIIRS,n,2,291.2,12.52,D,0
25.83993,93.95232,367,0.44,0.63,2024-04-05,0607,N20,VIIRS,h,2,293.87,33.5,D,0
25.83889,93.94801,347.25,0.44,0.63,2024-04-05,0607,N20,VIIRS,n,2,293.66,33.5,D,0
25.56786,92.78943,331.6,0.53,0.67,2024-04-05,0607,N20,VIIRS,n,2,292.78,3.74,D,0
25.51421,92.54858,328.51,0.55,0.68,2024-04-05,0607,N20,VIIRS,n,2,290.1,2.78,D,0
25.66178,93.11782,342.97,0.5,0.66,2024-04-05,0607,N20,VIIRS,n,2,292.51,10.12,D,0
