cluster_id,centroid_lat,centroid_lon,detection_count,unique_detection_days,observation_window_days,spatial_spread_km,temporal_recurrence,duration_score,detection_frequency,spatial_consistency,persistence_score,mean_frp,max_frp,mean_brightness,max_brightness,mean_confidence,satellite_count,fire_class,industrial_distance_km,forest_distance_km,farmland_distance_km,population_distance_km,industrial_feature_count,forest_feature_count,farmland_feature_count,population_feature_count,land_cover_type
0,21.10627,81.73657068965517,29,7,767.0458333333333,1105.179631575251,0.009125921419298,1.0,0.0378073887370919,0.0009040123063701,25.38637636054907,4.776551724137931,15.22,331.2075862068966,353.11,49.310344827586206,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
1,18.75207153846154,82.80292923076922,13,6,784.0340277777777,652.4792491561806,0.0076527290747903,1.0,0.0165809129953791,0.0015302704734561,25.301639564201285,5.266923076923077,14.53,329.40923076923076,341.26,46.92307692307692,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
3,22.858840843373493,85.03796506024096,83,19,827.5513888888889,758.7711270862505,0.022959299271445,1.0,0.1002958862910494,0.001316185841169,25.965842410694357,3.844819277108432,11.4,323.3515662650602,351.65,49.036144578313255,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
5,22.559328333333337,84.8118275,24,5,764.0180555555555,796.8315026385403,0.0065443479557093,1.0,0.0314128701874046,0.0012533974864277,25.29993056386834,3.307916666666667,10.68,320.3883333333333,350.64,49.166666666666664,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
10,20.63879,81.03687444444444,9,6,770.5291666666667,436.1445142880582,0.007786856435242,1.0,0.011680284652863,0.0022875730274886,25.30855786523919,6.8711111111111105,16.23,330.93,347.2,47.77777777777778,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
11,20.413886774193543,79.59386032258064,31,7,764.5375,465.4422071994304,0.0091558622042738,1.0,0.040547389761784,0.0021438883200645,25.41892210693397,7.959677419354839,32.06,338.82,367.0,50.96774193548387,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
16,20.93219235294118,81.95557794117647,34,8,765.0041666666667,512.986215825834,0.0104574593820295,1.0,0.0444442023736254,0.0019455774672736,25.46374583674042,5.750882352941177,16.14,332.91882352941184,353.63,46.47058823529411,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
20,21.554557741935483,85.0824093548387,31,5,764.0180555555555,819.7682394676123,0.0065443479557093,1.0,0.0405749573253977,0.0012183707311197,25.322135246607164,4.817741935483871,21.91,320.2432258064517,342.62,48.70967741935484,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
21,20.616065862068965,82.88559862068965,29,6,764.0180555555555,431.88166131708806,0.0078532175468511,1.0,0.0379572181431139,0.0023101001713895,25.376691575191114,5.184137931034483,25.42,328.8810344827586,367.0,50.689655172413794,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
24,20.80799888888889,85.42093277777776,18,6,764.0180555555555,606.5446009573064,0.0078532175468511,1.0,0.0235596526405535,0.0016459696924708,25.327415051856335,8.155555555555555,59.16,328.7705555555556,355.35,46.666666666666664,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
25,20.291517,84.19509133333332,30,6,764.0180555555555,522.594887248771,0.0078532175468511,1.0,0.0392660877342558,0.0019098735002064,25.371959215745303,5.459333333333334,17.71,325.78633333333335,349.61,46.0,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
27,20.529465882352937,84.37469117647059,17,7,793.0555555555555,496.64304282107395,0.0088266199649737,1.0,0.0214360770577933,0.0020094724811807,25.358578241217312,3.261764705882353,8.56,320.31294117647053,345.87,48.8235294117647,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
28,20.728085370370376,84.51317185185182,54,5,764.0173611111111,667.9616518917935,0.0065443539041161,1.0,0.0706790221644541,0.0014948539982404,25.40292525249943,4.416296296296296,17.45,323.4892592592592,367.0,48.333333333333336,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
33,22.931924285714285,84.84872785714286,14,5,764.0173611111111,759.5405165088504,0.0065443539041161,1.0,0.0183241909315251,0.0013148543414759,25.268438181281816,5.331428571428573,16.93,332.7,367.0,50.714285714285715,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
53,24.326112857142853,82.13868285714284,14,5,764.01875,911.1075671602772,0.0065443420073133,1.0,0.0183241576204772,0.0010963619160768,25.26406789259213,5.301428571428572,11.88,329.04857142857145,354.21,45.714285714285715,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
54,24.5742235,82.94237849999999,20,5,764.5340277777777,1230.955244358249,0.0065399312762221,1.0,0.0261597251048886,0.0008117177994732,25.277831607038348,2.46,10.01,312.07,343.63,48.0,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
59,23.58918564102564,85.26518307692308,39,14,828.5368055555556,594.1822613438774,0.0168972577996853,1.0,0.0470709324419806,0.0016801576003661,25.658198217102836,3.7207692307692306,22.45,316.01512820512824,367.0,50.256410256410255,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
63,26.14019125,83.63924625,16,5,764.5354166666667,867.1311650697071,0.0065399193954934,1.0,0.020927742065579,0.0011518996670505,25.271554930369767,3.1725,12.25,321.101875,367.0,53.75,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
72,25.77355115384615,83.65228346153846,26,5,764.6048611111111,1189.6264236869868,0.0065393254140891,1.0,0.0340044921532636,0.0008398940088221,25.29798887298228,3.3815384615384616,9.21,320.4780769230769,348.46,47.69230769230769,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
75,26.60049888888889,79.08246333333334,9,6,765.00625,563.7705297353824,0.0078430731775067,1.0,0.01176460976626,0.0017706306319994,25.30011633238085,6.6433333333333335,20.01,323.91333333333336,367.0,48.888888888888886,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
77,25.084578333333333,84.3562761111111,18,6,764.5347222222222,975.7268701763996,0.0078479104030229,1.0,0.0235437312090686,0.0010238276743829,25.314773193601013,2.6744444444444446,6.91,318.72388888888895,349.21,47.77777777777778,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
78,26.203202307692308,83.80890076923076,13,5,764.5347222222222,962.3130966010104,0.0065399253358524,1.0,0.0170038058732162,0.0010380840907576,25.25946895657377,6.7992307692307685,19.72,323.4546153846153,367.0,52.30769230769231,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
85,26.302947272727273,81.55819818181818,11,7,767.5659722222222,641.569445780994,0.0091197372647121,1.0,0.0143310157016905,0.0015562520231328,25.34054469765824,3.003636363636363,10.3,315.7018181818181,344.7,48.18181818181818,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
86,25.630782307692307,81.1891346153846,13,5,764.6048611111111,669.9384263764573,0.0065393254140891,1.0,0.0170022460766318,0.0014904497353068,25.268494372320394,4.789230769230769,19.82,322.07,367.0,50.76923076923077,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
87,26.786019,80.686964,10,5,764.5347222222222,554.2701135315274,0.0065399253358524,1.0,0.0130798506717048,0.0018009253075768,25.26491589290637,4.337999999999999,10.52,323.20000000000005,348.73,50.0,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
88,26.912079090909092,80.87651363636363,11,7,765.0048611111112,569.9749746419536,0.0091502686529769,1.0,0.0143789935975352,0.0017513902437266,25.345483348457677,4.683636363636364,16.46,325.4109090909091,349.73,46.36363636363637,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
96,21.100858333333335,75.66580944444445,36,10,811.55,966.4176895736488,0.0123220996857864,1.0,0.0443595588688312,0.0010336796719529,25.501235481184732,5.293611111111112,11.59,325.71999999999997,367.0,49.166666666666664,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
102,24.918970909090913,80.03917181818181,11,6,765.0756944444445,1016.9798124722092,0.0078423612768889,1.0,0.0143776623409629,0.0009823377514446,25.290861749187965,3.070909090909091,6.94,327.58818181818174,346.45,46.36363636363637,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
105,22.207425625,81.635541875,16,6,765.0756944444445,1400.2333718081688,0.0078423612768889,1.0,0.020912963405037,0.0007136569968424,25.30182638675611,6.941875,28.8,326.04625,367.0,49.375,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
106,22.187978947368425,83.02803421052631,19,6,773.0388888888889,1130.6503103783386,0.0077615758873709,1.0,0.0245783236433412,0.0008836652018994,25.31196638976747,31.757368421052632,132.73,334.02263157894737,367.0,50.0,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
108,22.253290625,84.88768125000001,16,8,770.0076388888889,549.0871835335944,0.0103895073191012,1.0,0.0207790146382025,0.0018178936538319,25.399990629245185,3.8575,11.06,327.27625,351.17,46.25,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
114,21.77183851851852,84.02196,27,8,778.0416666666666,410.17812001772074,0.0102822256734322,1.0,0.0347025116478337,0.0024320360236018,25.443863769794586,5.442222222222222,17.83,327.71888888888896,352.95,47.03703703703704,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
119,23.1995252631579,78.96176526315789,19,4,765.0027777777777,383.6214570771898,0.0052287391839535,1.0,0.0248365111237795,0.0025999589508062,25.270952632344184,7.472105263157895,15.42,345.53578947368425,367.0,51.05263157894737,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
134,30.708000833333333,76.95790083333334,12,5,765.075,250.70505974906305,0.0065353069960461,1.0,0.0156847367905107,0.0039729038462593,25.314729128782847,6.724166666666666,13.92,344.0733333333333,367.0,53.333333333333336,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
143,30.35457,76.28083272727272,11,5,766.5770833333333,339.39226405148736,0.0065225012705288,1.0,0.0143495027951635,0.0029377870933304,25.29030453697039,6.39,12.54,337.7781818181818,367.0,50.90909090909091,2,AGRICULTURAL,11.448,,,12.455,9.0,0.0,0.0,6.0,industrial
156,20.853039999999996,76.4389605263158,19,5,765.5902777777778,1341.3361445990915,0.0065309084312213,1.0,0.0248174520386412,0.0007449698825614,25.272870280684472,2.681052631578947,7.98,312.29526315789474,349.75,48.94736842105263,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
176,24.26287111111111,77.72852888888889,9,5,824.5888888888888,619.3651485609087,0.0060636276663118,1.0,0.0109145297993612,0.0016119538667182,25.24143423182213,3.58,7.49,323.91666666666674,341.36,43.333333333333336,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
179,25.760446666666667,81.47073444444443,9,4,765.9902777777778,373.557513007455,0.0052219983935102,1.0,0.0117494963853979,0.0026698169580704,25.239430031930212,6.426666666666667,11.03,342.63111111111107,367.0,51.111111111111114,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
183,31.018453333333337,76.74582,9,3,765.9916666666667,336.3830517599837,0.0039164916937738,1.0,0.0117494750813215,0.0029639900249387,25.206148239015295,12.06,19.08,347.12777777777774,367.0,57.77777777777778,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
184,28.929374999999997,77.48923916666668,12,6,780.0159722222222,343.9622299720867,0.0076921501785486,1.0,0.0153843003570973,0.0028988680879089,25.327202618007384,8.255,19.61,340.835,367.0,50.833333333333336,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
186,23.200324285714284,76.40976142857143,14,5,800.5548611111111,1606.3384716094076,0.0062456681520369,1.0,0.0174878708257033,0.0006221464972456,25.243532651570277,19.922142857142855,54.83,333.565,367.0,52.142857142857146,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
187,27.61500388888889,75.80189888888889,18,4,766.0604166666667,967.3199133949644,0.0052215202782635,1.0,0.0234968412521858,0.001032716549734,25.236042042473052,47.175,264.1,352.06444444444446,367.0,56.666666666666664,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
188,25.575253333333333,77.33679888888888,9,4,767.5666666666667,840.706238734571,0.0052112737221522,1.0,0.0117253658748425,0.0011880629535352,25.209412885422378,7.680000000000001,16.87,333.1333333333333,343.32,50.0,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
189,26.677086363636363,76.35439181818182,11,3,766.0604166666667,886.4435985503694,0.0039161402086976,1.0,0.0143591807652246,0.0011268321746119,25.17591880166623,14.305454545454545,26.5,346.3127272727272,367.0,55.45454545454545,2,AGRICULTURAL,,,,10.91,0.0,0.0,0.0,15.0,population
190,26.589052727272733,77.89662727272729,11,5,767.0451388888889,862.948045457429,0.0065185212010375,1.0,0.0143407466422825,0.0011574770094775,25.25455704282638,8.13,15.7,343.9809090909091,367.0,49.09090909090909,2,AGRICULTURAL,,,,,0.0,0.0,0.0,0.0,unknown
