cluster_id,centroid_lat,centroid_lon,detection_count,unique_detection_days,observation_window_days,spatial_spread_km,temporal_recurrence,duration_score,detection_frequency,spatial_consistency,persistence_score,persistence_label,mean_frp,max_frp,mean_brightness,max_brightness,mean_confidence,satellite_count,fire_class,industrial_distance_km,industrial_feature_count,forest_distance_km,forest_feature_count,farmland_distance_km,farmland_feature_count,population_distance_km,population_feature_count,land_cover_type
0,23.830456111111108,84.94051555555556,18,4,3.479861111111111,2.87492251557918,1.0,0.4971230158730159,5.17262023548194,0.2580696764850099,62.93470939748948,MEDIUM / RECURRENT,3.1755555555555555,6.54,320.0177777777778,342.71,,1,INDUSTRIAL,,0,,0,,0,,0,unknown
1,23.951495,84.58309875,8,3,3.479861111111111,1.3496727317450905,0.8621033725803233,0.4971230158730159,2.298942326880862,0.4255911840357891,55.71140177161422,MEDIUM / RECURRENT,4.088749999999999,9.77,326.37250000000006,343.84,,1,INDUSTRIAL,,0,,0,,0,,0,unknown
2,23.733972,85.00999666666668,15,4,2.9611111111111112,1.6210157850632665,1.0,0.423015873015873,5.065666041275797,0.3815314679517894,63.33735826698421,MEDIUM / RECURRENT,2.397333333333334,5.63,313.816,328.64,,1,INDUSTRIAL,,0,,0,,0,,0,unknown
3,23.666288,84.99762000000001,5,3,1.9729166666666669,0.534234434095404,1.0,0.2818452380952381,2.5343189017951424,0.6517908722271687,60.15058620051461,MEDIUM / RECURRENT,1.702,1.96,308.43600000000004,309.97,,1,INDUSTRIAL,,0,,0,,0,,0,unknown
